screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
boingboing,n/a,40,14,0.997603417734709,70722,0.997603417734709,26524,0.997603417734709,2007-05-11 19:14:39,"","",n/a,n/a,36,0,0.9,0.0
wired,n/a,3,220,0.999348754819214,732967,0.999348754819214,6481,0.999348754819214,2007-03-17 09:57:25,"","",n/a,n/a,3,0,1.0,0.0
NiemanLab,n/a,21,637,0.996665624674377,39626,0.996665624674377,7220,0.996665624674377,2008-08-15 18:26:30,"","",n/a,n/a,14,0,0.666666666666667,0.0
democracynow,n/a,17,318,0.997134521204543,53997,0.997134521204543,3866,0.997134521204543,2008-10-23 20:47:35,"","",n/a,n/a,16,0,0.941176470588235,0.0
nonprofitorgs,n/a,5,38113,0.999140356361363,404055,0.999140356361363,3218,0.999140356361363,2008-11-18 18:35:40,"","",n/a,n/a,3,0,0.6,0.0
amnesty,n/a,5,6701,0.998280712722726,126117,0.998280712722726,2488,0.998280712722726,2008-09-06 04:05:26,"","",n/a,n/a,5,0,1.0,0.0
egytweets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
twitterglobalpr,n/a,n/a,5,0.951365009898927,2317,0.951365009898927,22,0.951365009898927,2011-01-05 19:52:33,"","",n/a,n/a,"","",n/a,n/a
twitter,n/a,n/a,404,1.0,4272280,1.0,1963,1.0,2007-02-20 14:35:54,"","",n/a,n/a,"","",n/a,n/a
ustream,n/a,10,259,0.999661352505991,1516912,0.999661352505991,8544,0.999661352505991,2007-04-25 07:26:03,"","",n/a,n/a,7,0,0.7,0.0
vodafoneegypt,n/a,n/a,932,0.991559862457018,13006,0.991559862457018,3832,0.991559862457018,2009-07-13 12:10:46,"","",n/a,n/a,"","",n/a,n/a
techcrunch,n/a,38,825,0.999687402313223,1557783,0.999687402313223,24563,0.999687402313223,2007-03-07 01:27:09,"","",n/a,n/a,38,0,1.0,0.0
wikileaks,n/a,2,1,0.999296655204752,714940,0.999296655204752,3060,0.999296655204752,2008-10-04 06:41:05,"","",n/a,n/a,2,0,1.0,0.0
youtube,n/a,5,227,0.999765551734917,1648781,0.999765551734917,3148,0.999765551734917,2007-11-13 21:43:46,"","",n/a,n/a,5,0,1.0,0.0
telecomix,n/a,9,99,0.974314890069814,4121,0.974314890069814,7492,0.974314890069814,2009-06-01 10:40:45,"","",n/a,n/a,7,0,0.777777777777778,0.0
