screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
YosriFouda,n/a,10,75,0.966067246940308,2775,0.966067246940308,719,0.966067246940308,2010-09-11 17:50:36,"","",n/a,n/a,10,0,1.0,0.0
abuaardvark,n/a,24,206,0.984580037997614,5400,0.984580037997614,5819,0.984580037997614,2008-12-20 15:33:59,"","",n/a,n/a,13,0,0.541666666666667,0.0
AsemGH,n/a,56,293,0.976671232271462,3757,0.976671232271462,15178,0.976671232271462,2009-06-29 20:59:12,"","",n/a,n/a,3,0,0.0535714285714286,0.0
habibahamid,2,61,1922,0.967967127645473,2920,0.967967127645473,4973,0.967967127645473,2009-02-25 16:13:34,2,0,1.0,0.0,33,0,0.540983606557377,0.0
DavidClinchNews,n/a,18,5085,0.981796491848186,4682,0.981796491848186,15401,0.981796491848186,2008-11-11 19:19:31,"","",n/a,n/a,9,0,0.5,0.0
AlanFisher,1,29,242,0.979896611143021,4357,0.979896611143021,11661,0.979896611143021,2009-01-23 19:33:31,1,0,1.0,0.0,16,0,0.551724137931034,0.0
Ssirgany,4,15,385,0.985905536164008,5967,0.985905536164008,7050,0.985905536164008,2009-04-20 11:32:50,2,0,0.5,0.0,8,0,0.533333333333333,0.0
jamaldajani,4,4,87,0.970927406883754,3158,0.970927406883754,9882,0.970927406883754,2008-09-02 01:25:12,2,0,0.5,0.0,3,0,0.75,0.0
ammr,n/a,5,606,0.972164538505722,3284,0.972164538505722,13554,0.972164538505722,2007-05-20 11:52:24,"","",n/a,n/a,2,0,0.4,0.0
blakehounshell,2,58,618,0.983166173286794,4971,0.983166173286794,9143,0.983166173286794,2008-11-08 02:35:34,2,0,1.0,0.0,36,0,0.620689655172414,0.0
abkamal,1,4,1622,0.938894534529227,1719,0.938806167984801,5124,0.938894534529227,2009-06-20 17:31:08,1,0,1.0,0.0,0,0,0.0,0.0
adammynott,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
jaycbee,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Andy_Burton,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
