relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,relevant_user_gets_retweeted,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,relevant_total,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
1.0,45,0.997603417734709,10,2007-05-11 19:14:39,boingboing,1.0,0.0,0,14,0.911111111111111,10,0.997603417734709,1.0,41,26524,0.0,0,70722,0.997603417734709
1.0,45,0.997603417734709,10,2007-05-11 19:14:39,boingboing,1.0,0.0,0,14,0.911111111111111,10,0.997603417734709,1.0,41,26524,0.0,0,70722,0.997603417734709
1.0,22,0.999348754819214,2,2007-03-17 09:57:25,wired,1.0,0.0,0,220,0.909090909090909,2,0.999348754819214,1.0,20,6481,0.0,0,732967,0.999348754819214
n/a,25,0.996665624674377,"",2008-08-15 18:26:30,NiemanLab,n/a,0.0,"",637,0.92,n/a,0.996665624674377,1.0,23,7220,n/a,0,39626,0.996665624674377
1.0,31,0.997134521204543,4,2008-10-23 20:47:35,democracynow,1.0,0.0,0,318,0.935483870967742,4,0.997134521204543,1.0,29,3866,0.0,0,53997,0.997134521204543
n/a,7,0.999140356361363,"",2008-11-18 18:35:40,nonprofitorgs,n/a,0.0,"",38113,0.857142857142857,n/a,0.999140356361363,1.0,6,3218,n/a,0,404055,0.999140356361363
1.0,5,0.998280712722726,2,2008-09-06 04:05:26,amnesty,1.0,0.0,0,6701,0.8,2,0.998280712722726,1.0,4,2488,0.0,0,126117,0.998280712722726
n/a,n/a,n/a,"",n/a,egytweets,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,2,0.951365009898927,"",2011-01-05 19:52:33,twitterglobalpr,n/a,0.0,"",5,1.0,n/a,0.951365009898927,1.0,2,22,n/a,0,2317,0.951365009898927
n/a,2,1.0,"",2007-02-20 14:35:54,twitter,n/a,0.0,"",404,1.0,n/a,1.0,1.0,2,1963,n/a,0,4272280,1.0
n/a,6,0.999661352505991,"",2007-04-25 07:26:03,ustream,n/a,0.0,"",259,0.833333333333333,n/a,0.999661352505991,1.0,5,8544,n/a,0,1516912,0.999661352505991
n/a,n/a,0.991559862457018,"",2009-07-13 12:10:46,vodafoneegypt,n/a,n/a,"",932,n/a,n/a,0.991559862457018,n/a,"",3832,n/a,"",13006,0.991559862457018
n/a,27,0.999687402313223,"",2007-03-07 01:27:09,techcrunch,n/a,0.0,"",825,1.0,n/a,0.999687402313223,1.0,27,24563,n/a,0,1557783,0.999687402313223
n/a,36,0.999296655204752,"",2008-10-04 06:41:05,wikileaks,n/a,0.0,"",1,1.0,n/a,0.999296655204752,1.0,36,3060,n/a,0,714940,0.999296655204752
n/a,4,0.999765551734917,"",2007-11-13 21:43:46,youtube,n/a,0.0,"",227,1.0,n/a,0.999765551734917,1.0,4,3148,n/a,0,1648781,0.999765551734917
1.0,32,0.974314890069814,54,2009-06-01 10:40:45,telecomix,1.0,0.0,0,99,0.90625,54,0.974314890069814,1.0,29,7492,0.0,0,4121,0.974314890069814
