screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
YosriFouda,7,4,75,0.966067246940308,2775,0.966067246940308,719,0.966067246940308,2010-09-11 17:50:36,7,0,1.0,0.0,4,0,1.0,0.0
abuaardvark,2,31,206,0.984580037997614,5400,0.984580037997614,5819,0.984580037997614,2008-12-20 15:33:59,2,0,1.0,0.0,21,0,0.67741935483871,0.0
AsemGH,1,18,293,0.976671232271462,3757,0.976671232271462,15178,0.976671232271462,2009-06-29 20:59:12,1,0,1.0,0.0,6,0,0.333333333333333,0.0
habibahamid,1,36,1922,0.967967127645473,2920,0.967967127645473,4973,0.967967127645473,2009-02-25 16:13:34,1,0,1.0,0.0,24,0,0.666666666666667,0.0
DavidClinchNews,n/a,28,5085,0.981796491848186,4682,0.981796491848186,15401,0.981796491848186,2008-11-11 19:19:31,"","",n/a,n/a,7,0,0.25,0.0
AlanFisher,n/a,22,242,0.979896611143021,4357,0.979896611143021,11661,0.979896611143021,2009-01-23 19:33:31,"","",n/a,n/a,9,0,0.409090909090909,0.0
Ssirgany,n/a,2,385,0.985905536164008,5967,0.985905536164008,7050,0.985905536164008,2009-04-20 11:32:50,"","",n/a,n/a,1,0,0.5,0.0
jamaldajani,4,4,87,0.970927406883754,3158,0.970927406883754,9882,0.970927406883754,2008-09-02 01:25:12,4,0,1.0,0.0,3,0,0.75,0.0
ammr,n/a,22,606,0.972164538505722,3284,0.972164538505722,13554,0.972164538505722,2007-05-20 11:52:24,"","",n/a,n/a,4,0,0.181818181818182,0.0
blakehounshell,2,39,618,0.983166173286794,4971,0.983166173286794,9143,0.983166173286794,2008-11-08 02:35:34,2,0,1.0,0.0,28,0,0.717948717948718,0.0
abkamal,n/a,2,1622,0.938894534529227,1719,0.938806167984801,5124,0.938894534529227,2009-06-20 17:31:08,"","",n/a,n/a,1,0,0.5,0.0
adammynott,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
jaycbee,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Andy_Burton,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
