screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
Brian_Whit,6,4,87,0.970573940706049,3136,0.970573940706049,2047,0.970573940706049,2009-02-20 15:41:03,6,0,1.0,0.0,4,0,1.0,0.0
tuniscope_,1,3,0,0.108867582733177,0,0.106260769672602,1404,0.108867582733177,2009-06-10 14:13:37,1,0,1.0,0.0,3,0,1.0,0.0
MideastChannel,n/a,n/a,999,0.967348561834489,2871,0.967348561834489,1540,0.967348561834489,2010-02-25 17:10:44,"","",n/a,n/a,"","",n/a,n/a
Jeune_Afrique,n/a,8,2773,0.980559360226218,4520,0.980559360226218,6650,0.980559360226218,2009-11-09 17:07:27,"","",n/a,n/a,7,0,0.875,0.0
france24_ar,n/a,19,436,0.978571112976627,4117,0.978571112976627,10153,0.978571112976627,2009-03-18 09:24:42,"","",n/a,n/a,14,0,0.736842105263158,0.0
aramram,n/a,3,2007,0.944196527194804,1856,0.944196527194804,2566,0.944196527194804,2010-02-01 15:13:18,"","",n/a,n/a,2,0,0.666666666666667,0.0
rue89,n/a,11,103,0.998718685105819,78657,0.998718685105819,6564,0.998718685105819,2009-01-22 14:55:35,"","",n/a,n/a,10,0,0.909090909090909,0.0
nprpolitics,n/a,7,0,0.105465470772765,0,0.0752441125789776,15054,0.105465470772765,2007-05-03 14:45:05,"","",n/a,n/a,7,0,1.0,0.0
rww,n/a,9,0,0.100958777007025,0,0.0707374188132374,17556,0.100958777007025,2007-04-14 22:48:21,"","",n/a,n/a,9,0,1.0,0.0
Metro_TV,n/a,118,16,0.999867450183361,418347,0.999867450183361,41593,0.999867450183361,2009-07-16 06:19:23,"","",n/a,n/a,118,0,1.0,0.0
nprnews,n/a,11,0,0.105509654044979,0,0.0752882958511908,24443,0.105509654044979,2007-04-22 05:10:15,"","",n/a,n/a,11,0,1.0,0.0
lemondefr,2,46,176,0.999469800733442,172570,0.999469800733442,29407,0.999469800733442,2009-03-16 18:44:51,2,0,1.0,0.0,45,0,0.978260869565217,0.0
ANCALERTS,n/a,81,545,0.99929306764459,134684,0.99929306764459,32139,0.99929306764459,2009-06-04 21:26:24,"","",n/a,n/a,74,0,0.91358024691358,0.0
skynewsbreak,n/a,9,7,0.999204701100163,114439,0.999204701100163,5382,0.999204701100163,2009-11-04 11:25:45,"","",n/a,n/a,9,0,1.0,0.0
thedailybeast,n/a,27,436,0.998895418194672,94267,0.998895418194672,10909,0.998895418194672,2008-08-27 15:24:02,"","",n/a,n/a,26,0,0.962962962962963,0.0
vivanews,n/a,44,3408,0.998851234922458,93934,0.998851234922458,28017,0.998851234922458,2009-05-22 02:19:27,"","",n/a,n/a,36,0,0.818181818181818,0.0
Rue89,n/a,11,103,0.998718685105819,78657,0.998718685105819,6564,0.998718685105819,2009-01-22 14:55:35,"","",n/a,n/a,10,0,0.909090909090909,0.0
inquirerdotnet,n/a,103,244,0.998674501833606,77903,0.998674501833606,77391,0.998674501833606,2008-07-16 00:36:41,"","",n/a,n/a,79,0,0.766990291262136,0.0
bbcbrasil,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
liputan6dotcom,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
